"cohort_month","cohort_index","customers","retention_percentage"
"2010-06-01 00:00:00","14","13","18.57"
"2010-06-01 00:00:00","15","11","15.71"
"2010-06-01 00:00:00","16","9","12.86"
"2010-06-01 00:00:00","17","13","18.57"
"2010-06-01 00:00:00","18","2","2.86"
"2010-07-01 00:00:00","0","50","100.00"
"2010-07-01 00:00:00","2","1","2.00"
"2010-07-01 00:00:00","3","1","2.00"
"2010-07-01 00:00:00","6","9","18.00"
"2010-07-01 00:00:00","7","12","24.00"
"2010-07-01 00:00:00","8","5","10.00"
"2010-07-01 00:00:00","9","9","18.00"
"2010-07-01 00:00:00","10","15","30.00"
"2010-07-01 00:00:00","11","10","20.00"
"2010-07-01 00:00:00","12","10","20.00"
"2010-07-01 00:00:00","13","11","22.00"
"2010-07-01 00:00:00","14","12","24.00"
"2010-07-01 00:00:00","15","6","12.00"
"2010-07-01 00:00:00","16","11","22.00"
"2010-07-01 00:00:00","17","4","8.00"
"2010-08-01 00:00:00","0","83","100.00"
"2010-08-01 00:00:00","2","1","1.20"
"2010-08-01 00:00:00","4","2","2.41"
"2010-08-01 00:00:00","5","17","20.48"
"2010-08-01 00:00:00","6","11","13.25"
"2010-08-01 00:00:00","7","11","13.25"
"2010-08-01 00:00:00","8","15","18.07"
"2010-08-01 00:00:00","9","16","19.28"
"2010-08-01 00:00:00","10","16","19.28"
"2010-08-01 00:00:00","11","22","26.51"
"2010-08-01 00:00:00","12","22","26.51"
"2010-08-01 00:00:00","13","14","16.87"
"2010-08-01 00:00:00","14","18","21.69"
"2010-08-01 00:00:00","15","17","20.48"
"2010-08-01 00:00:00","16","17","20.48"
"2010-09-01 00:00:00","0","67","100.00"
"2010-09-01 00:00:00","4","18","26.87"
"2010-09-01 00:00:00","5","7","10.45"
"2010-09-01 00:00:00","6","9","13.43"
"2010-09-01 00:00:00","7","10","14.93"
"2010-09-01 00:00:00","8","15","22.39"
"2010-09-01 00:00:00","9","8","11.94"
"2010-09-01 00:00:00","10","15","22.39"
"2010-09-01 00:00:00","11","8","11.94"
"2010-09-01 00:00:00","12","8","11.94"
"2010-09-01 00:00:00","13","9","13.43"
"2010-09-01 00:00:00","14","6","8.96"
"2010-09-01 00:00:00","15","10","14.93"
"2010-10-01 00:00:00","0","40","100.00"
"2010-10-01 00:00:00","3","7","17.50"
"2010-10-01 00:00:00","4","3","7.50"
"2010-10-01 00:00:00","5","6","15.00"
"2010-10-01 00:00:00","6","11","27.50"
"2010-10-01 00:00:00","7","5","12.50"
"2010-10-01 00:00:00","8","5","12.50"
"2010-10-01 00:00:00","9","7","17.50"
"2010-10-01 00:00:00","10","3","7.50"
"2010-10-01 00:00:00","11","7","17.50"
"2010-10-01 00:00:00","12","4","10.00"
"2010-10-01 00:00:00","13","7","17.50"
"2010-10-01 00:00:00","14","6","15.00"
"2010-12-01 00:00:00","0","31","100.00"
"2010-12-01 00:00:00","1","3","9.68"
"2010-12-01 00:00:00","2","4","12.90"
"2010-12-01 00:00:00","3","5","16.13"
"2010-12-01 00:00:00","4","4","12.90"
"2010-12-01 00:00:00","5","6","19.35"
"2010-12-01 00:00:00","6","2","6.45"
"2010-12-01 00:00:00","7","1","3.23"
"2010-12-01 00:00:00","8","7","22.58"
"2010-12-01 00:00:00","9","4","12.90"
"2010-12-01 00:00:00","10","8","25.81"
"2010-12-01 00:00:00","11","4","12.90"
"2010-12-01 00:00:00","12","1","3.23"
"2011-01-01 00:00:00","0","331","100.00"
"2011-01-01 00:00:00","1","45","13.60"
"2011-01-01 00:00:00","2","40","12.08"
"2011-01-01 00:00:00","3","51","15.41"
"2011-01-01 00:00:00","4","45","13.60"
"2011-01-01 00:00:00","5","57","17.22"
"2011-01-01 00:00:00","6","62","18.73"
"2011-01-01 00:00:00","7","52","15.71"
"2011-01-01 00:00:00","8","51","15.41"
"2011-01-01 00:00:00","9","35","10.57"
"2011-01-01 00:00:00","10","41","12.39"
"2011-01-01 00:00:00","11","49","14.80"
"2011-02-01 00:00:00","0","242","100.00"
"2011-02-01 00:00:00","1","24","9.92"
"2011-02-01 00:00:00","2","30","12.40"
"2011-02-01 00:00:00","3","23","9.50"
"2011-02-01 00:00:00","4","28","11.57"
"2011-02-01 00:00:00","5","33","13.64"
"2011-02-01 00:00:00","6","23","9.50"
"2011-02-01 00:00:00","7","34","14.05"
"2011-02-01 00:00:00","8","24","9.92"
"2011-02-01 00:00:00","9","25","10.33"
"2011-02-01 00:00:00","10","28","11.57"
"2011-03-01 00:00:00","0","204","100.00"
"2011-03-01 00:00:00","1","24","11.76"
"2011-03-01 00:00:00","2","23","11.27"
"2011-03-01 00:00:00","3","31","15.20"
"2011-03-01 00:00:00","4","33","16.18"
"2011-03-01 00:00:00","5","23","11.27"
"2011-03-01 00:00:00","6","20","9.80"
"2011-03-01 00:00:00","7","18","8.82"
"2011-03-01 00:00:00","8","23","11.27"
"2011-03-01 00:00:00","9","14","6.86"
"2011-04-01 00:00:00","0","240","100.00"
"2011-04-01 00:00:00","1","26","10.83"
"2011-04-01 00:00:00","2","32","13.33"
"2011-04-01 00:00:00","3","26","10.83"
"2011-04-01 00:00:00","4","31","12.92"
"2011-04-01 00:00:00","5","21","8.75"
"2011-04-01 00:00:00","6","27","11.25"
"2011-04-01 00:00:00","7","24","10.00"
"2011-04-01 00:00:00","8","13","5.42"
"2011-05-01 00:00:00","0","230","100.00"
"2011-05-01 00:00:00","1","30","13.04"
"2011-05-01 00:00:00","2","22","9.57"
"2011-05-01 00:00:00","3","28","12.17"
"2011-05-01 00:00:00","4","21","9.13"
"2011-05-01 00:00:00","5","19","8.26"
"2011-05-01 00:00:00","6","20","8.70"
"2011-05-01 00:00:00","7","17","7.39"
"2011-06-01 00:00:00","0","234","100.00"
"2011-06-01 00:00:00","1","26","11.11"
"2011-06-01 00:00:00","2","22","9.40"
"2011-06-01 00:00:00","3","25","10.68"
"2011-06-01 00:00:00","4","17","7.26"
"2011-06-01 00:00:00","5","21","8.97"
"2011-06-01 00:00:00","6","17","7.26"
"2011-07-01 00:00:00","0","203","100.00"
"2011-07-01 00:00:00","1","30","14.78"
"2011-07-01 00:00:00","2","23","11.33"
"2011-07-01 00:00:00","3","21","10.34"
"2011-07-01 00:00:00","4","20","9.85"
"2011-07-01 00:00:00","5","10","4.93"
"2011-08-01 00:00:00","0","171","100.00"
"2011-08-01 00:00:00","1","12","7.02"
"2011-08-01 00:00:00","2","10","5.85"
"2011-08-01 00:00:00","3","18","10.53"
"2011-08-01 00:00:00","4","12","7.02"
"2011-09-01 00:00:00","0","125","100.00"
"2011-09-01 00:00:00","1","6","4.80"
"2011-09-01 00:00:00","2","15","12.00"
"2011-09-01 00:00:00","3","7","5.60"
"2011-10-01 00:00:00","0","146","100.00"
"2011-10-01 00:00:00","1","10","6.85"
"2011-10-01 00:00:00","2","8","5.48"
"2011-11-01 00:00:00","0","139","100.00"
"2011-11-01 00:00:00","1","9","6.47"
"2011-12-01 00:00:00","0","88","100.00"
